Index,Titol,Valoracio,Data_critica,Gènere,Director,Interprets,Guio,Pais,Durada,Edat_recomanada,Distribuidora,Data_estrena
1,El secreto: atrévete a soñar,5,23-10-2020,"Drama, Romance",Andy Tennant,"Josh Lucas, Katie Holmes","Bekah Brunstetter, Rick Parks",Estados Unidos,107 min. ,,Vértigo Films ,23 de Octubre de 2020
2,Más allá de la Luna,7,23-10-2020,"Animación, Fantasía",,,Audrey Wells,Estados Unidos,95 min. ,,Netflix,23 de Octubre de 2020
3,Regreso a Hope Gap,7,23-10-2020,Drama,,"Aiysha Hart, Annette Bening, Bill Nighy, Josh O'Connor, Nicholas Burns",William Nicholson,Reino Unido,100 min. ,,A Contracorriente,23 de Octubre de 2020
4,El club de los divorciados,6,23-10-2020,Comedia,,"Arnaud Ducret, Audrey Fleurot, Caroline Anglade, François-Xavier Demaison",David Gilcreast,Francia,,,Festival Films,23 de Octubre de 2020
5,Una vez más,7,23-10-2020,"Drama, Romance",Guillermo Rojas,"Celia Vioque, Jacinto Bobo, Julia Rodríguez, Silvia Acosta, Teresa Arbolí",,España,,,,23 de Octubre de 2020
6,Promare,8,23-10-2020,"Acción, Ciencia-ficción",Hiroyuki Imaishi,,,Japón,111 min.,,Selecta Visión,23 de Octubre de 2020
7,Borat: Subsequent Moviefilm,8,23-10-2020,"Comedia, Sátira",Jason Woliner,"Ken Davitian, Maria Bakalova, Mike Pence, Rudy Giuliani, Sacha Baron Cohen","Anthony Hines, Dan Mazer, Dan Swimer, Erica Rivinoja, Jena Friedman, Lee Kern, Peter Baynham, Sacha Baron Cohen",Estados Unidos,95 min.,,Amazon Prime Video,23 de Octubre de 2020
8,On the Rocks,8,23-10-2020,"Comedia, Drama, Romance",Sofia Coppola,Bill Murray,Sofia Coppola,Estados Unidos,95 min. ,,Apple TV+,23 de Octubre de 2020
9,La voz humana,8,21-10-2020,Drama,Pedro Almodóvar,Tilda Swinton,Pedro Almodóvar,España,30 min.,,Avalon,21 de Octubre de 2020
10,Rebeca,5,19-10-2020,"Drama, Romance, Suspense",Ben Wheatley,"Armie Hammer, Ben Crompton, Keeley Hawes, Kristin Scott Thomas, Lily James","Anna Waterhouse, Jane Goldman, Joe Shrapnel",Reino Unido,,,Netflix,19 de Octubre de 2020
11,El juicio de los 7 de Chicago,9,16-10-2020,Drama,Aaron Sorkin,,Aaron Sorkin,Estados Unidos,129 min.,,Netflix,16 de Octubre de 2020
12,No matarás,7,16-10-2020,Thriller,David Victori,"Elisabeth Larena, Joaquín Caserza, Mario Casas, Milena Smit, Victor Solé",Jordi Vallejo,España,92 min. ,,Filmax,16 de Octubre de 2020
13,Vitalina Varela,10,16-10-2020,Drama,Pedro Costa,"Ventura, Vitalina Varela",Pedro Costa,Portugal,124 min.,,Numax,16 de Octubre de 2020
14,De nuevo otra vez,6,16-10-2020,Drama,,,,Argentina,84 min.,,Begin Again Films,16 de Octubre de 2020
15,Ane,8,16-10-2020,Drama,David P. Sañudo,"Aia Kruse, Jone Laspiur, Luis Callejo, Mikel Losada, Patricia López Arnaiz",,España,110 min. ,,Syldavia Cinema,16 de Octubre de 2020
16,Cunningham,7,16-10-2020,Documental,Alla Kovgan,,,Alemania,93 min. ,,Filmin ,16 de Octubre de 2020
17,Crescendo,5,16-10-2020,"Drama, Musical",Dror Zahavi,,,Alemania,102 min. ,,Adso Films,16 de Octubre de 2020
18,Corpus Christi,9,16-10-2020,Drama,Jan Komasa,"Aleksandra Konieczna, Bartosz Bielenia, Eliza Rycembel, Tomasz Zietek",Mateusz Pacewicz,Polonia,116 min. ,,Surtsey Films,16 de Octubre de 2020
19,Shin chan en Australia. Tras las esmeraldas verdes,6,16-10-2020,Animación,Masakazu Hashimoto,,"Kimiko Ueno, Munenori Mizuno",Japón,100 min. ,,Alfa Pictures,16 de Octubre de 2020
20,Arzak since 1897,7,09-10-2020,Documental,Asier Altuna,"Elena Arzak, Ferran Adrià, Juan Mari Arzak",,España,70 minutos,,,09 de Octubre de 2020
21,El rey del barrio,9,09-10-2020,"Comedia, Drama",,"Bel Powley, Bill Burr, Marisa Tomei, Pete Davidson, Steve Buscemi",,Estados Unidos,136 min. ,,Universal ,09 de Octubre de 2020
22,The Vigil,8,09-10-2020,Terror,Keith Thomas,"Dave Randolph-Mayhem Davis, Fred Melamed, Malky Goldman, Menashe Lustig",,Estados Unidos,88 min. ,,Vértigo Films ,09 de Octubre de 2020
23,Cartas mojadas,7,09-10-2020,"Documental, Inmigración",Paula Palacios,,,España,81 min. ,,Syldavia Cinema,09 de Octubre de 2020
24,Verano del 85,7,09-10-2020,"Drama, Romance",François Ozon,"Benjamin Voisin, Félix Lefebvre, Melvil Poupaud, Philippine Velge",François Ozon,Francia,100 min.,,Golem ,09 de Octubre de 2020
25,Sanmao: La novia del desierto,7,09-10-2020,Documental,"Ana Pérez De La Fuente, Marta Arribas",,,España,86 min.,,Sherlock ,09 de Octubre de 2020
26,"Dehesa, el escondite del lince",8,09-10-2020,Documental,Joaquín Gutiérrez Acha,,,España,94 min,,Wanda,09 de Octubre de 2020
27,Rifkin’s Festival,6,02-10-2020,"Comedia, Drama",Woody Allen,"Christoph Waltz, Elena Anaya, Gina Gershon, Louis Garrel, Sergi López, Wallace Shawn",Woody Allen,"Estados Unidos, España, Italia",92 min.,,TriPictures,02 de Octubre de 2020
28,Falling,7,02-10-2020,Drama,,"Hannah Gross, Lance Henriksen, Laura Linney, Sverrir Gudnason, Terry Chen, Viggo Mortensen",,Canadá,112 min.,,Caramel Films ,02 de Octubre de 2020
29,Akelarre,7,02-10-2020,"Brujería, Drama",Pablo Agüero,"Àlex Brendemühl, Amaia Aberasturi, Daniel Chamorro, Daniel Fanego","Katell Guillou, Pablo Agüero",España,90 min.,,Avalon,02 de Octubre de 2020
30,Una ventana al mar,4,02-10-2020,Drama,Miguel Ángel Jiménez,"Akilas Karazisis, Emma Suárez, Gaizka Ugarte, Katerina Zafeiropoulou, Kostas Petrou","Luis Gamboa, Luis Moya, Miguel Ángel Jiménez",España,105 min.,,Filmax,02 de Octubre de 2020
31,¿Puedes oírme?,5,02-10-2020,Documental,Pedro Ballesteros,,,España,75 min.,,,02 de Octubre de 2020
32,Explota explota,6,02-10-2020,"Comedia, Musical",,"Fernando Guallar, Ingrid García Jonsson, Verónica Echegui","David Esteban Cubero, Eduardo Navarro",España,110 min.,,Universal,02 de Octubre de 2020
33,La habitación (The Room),7,02-10-2020,"Drama, Fantasía, Thriller",Christian Volckman,"Francis Chapman, John Flanders, Kevin Janssens, Marianne Bourg, Olga Kurylenko","Eric Forestier, Sabrina B. Karine",Francia,99 min.,,F&P Media,02 de Octubre de 2020
34,Canción sin nombre,7,02-10-2020,Drama,Melina León,"Bruno Odar, Lucio Rojas, Maykol Hernández, Pamela Mendoza, Ruth Armas, Tommy Párraga",,Perú,97 min.,,Begin Again Films,02 de Octubre de 2020
35,Eso que tú me das,10,30-09-2020,Documental,,,"Màrius Sánchez, Silvia Merino",España,65 min.,,"El talento, acompañado de ilusión, trasciende cualquier final.",30 de Septiembre de 2020
36,Un trabajo y una película,6,29-09-2020,"Cine experimental, Intriga",Xavier Martínez Soler,"María de la Pau Pigem, Oriol Genís, Pablo Rosal, Rosa Serra i Torrens",,España,99 min.,,,29 de Septiembre de 2020
37,El diablo a todas horas,6,28-09-2020,"Drama, Thiller",,"Bill Skarsgård, Jason Clarke, Mia Wasikowska, Robert Pattinson, Tom Holland",,Estados Unidos,138 min.,,Netflix ,28 de Septiembre de 2020
38,Song to Song,8,25-09-2020,"Drama, Música, Romance",,"Cate Blanchett, Michael Fassbender, Natalie Portman, Rooney Mara, Ryan Gosling",,Estados Unidos,129 min.,,Avalon,25 de Septiembre de 2020
39,Tommaso,8,25-09-2020,Drama,,"Anna Ferrara, Cristina Chiriac, Lorenzo Piazzoni, Stella Mastrantonio, Willem Dafoe",,Italia,115 min.,,Capricci Cine,25 de Septiembre de 2020
40,Greenland: El último refugio,5,25-09-2020,"Drama, Thriller",Ric Roman Waugh,"David Denman, Gerard Butler, Morena Baccarin, Roger Dale Floyd, Scott Glenn","Chris Sparling, Mitchell LaFortune",Estados Unidos,119 min.,,Diamond,25 de Septiembre de 2020
41,"Nunca, casi nunca, a veces, siempre",8,25-09-2020,Drama,Eliza Hittman,"Ryan Eggold, Sharon Van Etten, Sidney Flanigan, Talia Ryder, Théodore Pellerin",,Estados Unidos,101 min.,,Universal,25 de Septiembre de 2020
42,Black Beach,9,25-09-2020,Thriller,Esteban Crespo,"Candela Peña, Luka Peros, Melina Matthews, Paulina García, Raúl Arévalo","David Moreno, Esteban Crespo",España,110 min.,,eOne Films,25 de Septiembre de 2020
43,Una pastelería en Notting Hill,5,25-09-2020,Drama,Eliza Schroeder,"Bill Paterson, Celia Imrie, Grace Calder, Shannon Tarbet, Shelley Conn",Jake Brunger,Reino Unido,98 min.,,Filmax,25 de Septiembre de 2020
44,Pinocho,6,18-09-2020,"Aventuras, Drama, Fantasía",Matteo Garrone,Federico Ielapi,,Italia,125 min.,,Warner Bros.,18 de Septiembre de 2020
45,El practicante,7,18-09-2020,Thiller,Carles Torras,"Celso Bugallo, Déborah François, Mario Casas, Pol Monen, Raúl Jiménez","Carles Torras, David Desola, Hèctor Hernández Vicens",España,87 min. ,,Netflix,18 de Septiembre de 2020
46,L’Ofrena,7,18-09-2020,Drama,Ventura Durall,"Àlex Brendemühl, Anna Alarcón, Claudia Riera, Pablo Molinero, Verónica Echegui",,España,90 min.,,Alfa Pictures,18 de Septiembre de 2020
47,Uno para todos,8,18-09-2020,Drama,David Ilundain,"Ana Labordeta, Betsy Túrnez, Clara Segura, David Verdaguer, Patricia López Arnaiz","Coral Cruz, Valentina Viso",España,94 min.,,A Contracorriente,18 de Septiembre de 2020
48,Urubú,6,18-09-2020,Thriller,,"Carlos Urrutia, Clarice Alves, José Carabias","Alejandra Heredia, Carlos Bianchi",España,90 min.,,Begin Again Films,18 de Septiembre de 2020
49,Knight of Cups,9,18-09-2020,"Drama, Romance",,"Cate Blanchett, Christian Bale, Natalie Portman",,Estados Unidos,118 min.,,Avalon,18 de Septiembre de 2020
50,Monumental,6,16-09-2020,Documental,Rosa Berned,,,España,,,Artistic Metropol,16 de Septiembre de 2020
51,Sin olvido (The interpreter),7,14-09-2020,Drama,Martin Sulík,"Jirí Menzel, Peter Simonischek",,Eslovaquia,113 min.,,Surtsey Films,14 de Septiembre de 2020
52,El magnífico Iván,6,11-09-2020,"Animación, Aventura, Comedia",Thea Sharrock,Bryan Cranston,Mike White,Estados Unidos,95 min.,,Disney ,11 de Septiembre de 2020
53,En busca de Summerland,6,11-09-2020,Drama,Jessica Swale,"Gemma Arterton, Gugu Mbatha-Raw, Penelope Wilton",,Reino Unido,100 min.,,Vértice ,11 de Septiembre de 2020
54,Un mundo normal,7,11-09-2020,"Comedia, Drama",,"Ernesto Alterio, Gala Amyach, Ruth Díaz",,España,103 min. ,,DeAPlaneta,11 de Septiembre de 2020
55,No creas que voy a gritar,9,11-09-2020,Documental,Frank Beauvais,,,Francia,75 min.,,Capricci,11 de Septiembre de 2020
56,Un diván en Túnez,6,11-09-2020,"Comedia, Drama",Manele Labidi Labbé,"Amen Arbi, Golshifteh Farahani, Hichem Yacoubi, Majd Mastoura, Ramla Ayari",,Francia ,88 min. ,,Caramel Films ,11 de Septiembre de 2020
57,My Hero Academia: El despertar de los héroes,7,11-09-2020,Animación,Kenji Nagasaki,,Kôhei Horikoshi,Japón,104 min.,,Selecta Visión,11 de Septiembre de 2020
58,Technoboss,7,11-09-2020,"Musical, Romance",João Nicolau,"Américo Silva, Duarte Guimarães, Luísa Cruz, Matias Neves, Miguel Lobo Antunes",,Portugal,112 min.,,Flamingo Films ,11 de Septiembre de 2020
59,Salir del ropero,2,11-09-2020,"Comedia, Romance",Ángeles Reiné,Verónica Forqué,,España,,,Filmax,11 de Septiembre de 2020
60,Las niñas,9,04-09-2020,Drama,,"Andrea Fandós, Carlota Gurpegui, Julia Sierra, Natalia de Molina, Zoe Arnao",,España,100 min.,,BTeam Pictures,04 de Septiembre de 2020
61,A Land Imagined,8,04-09-2020,Thriller,Yeo Siew Hua,"Ishtiaque Zico, Jack Tan, Luna Kwok, Peter Yu, Xiaoyi Liu",,Singapur,95 min.,,Surtsey Films,04 de Septiembre de 2020
62,Un acuerdo original,7,04-09-2020,"Comedia, Romance","Philippe Rebbot, Romane Bohringer",,,Francia,97 min.,,Vercine,04 de Septiembre de 2020
63,Estoy pensando en dejarlo,7,04-09-2020,"Drama, Intriga",Charlie Kaufman,"Colby Minifie, David Thewlis, Jesse Plemons, Jessie Buckley, Toni Collette",Charlie Kaufman,Estados Unidos,134 min.,,Netflix,04 de Septiembre de 2020
64,"Estaba en casa, pero…",7,04-09-2020,Drama,Angela Schanelec,"Clara Möller, Franz Rogowski, Jakob Lassalle, Lilith Stangenberg, Maren Eggert",,Alemania,105 min.,,Numax,04 de Septiembre de 2020
65,Temblores,8,04-09-2020,Drama,Jayro Bustamante,,,Guatemala ,107 min.,,,04 de Septiembre de 2020
66,Antebellum,4,04-09-2020,Terror,"Christopher Renz, Gerard Bush","Eric Lange, Janelle Monáe",,Estados Unidos,105 min.,,DeAPlaneta,04 de Septiembre de 2020
67,Los europeos,7,31-08-2020,Drama,Víctor García León,"Boris Ruiz, Carolina Lapausa, Juan Diego Botto, Raúl Arévalo, Stéphane Caillard",Bernardo Sánchez,España,89 min.,,Orange TV,31 de Agosto de 2020
68,Get Duked!,6,28-08-2020,Comedia,Ninian Doff,"Alice Lowe, Eddie Izzard, James Cosmo, Jonathan Aris, Kate Dickie, Kevin Guthrie",,Reino Unido,87 min.,,Amazon,28 de Agosto de 2020
69,"Phineas y Ferb, la película: Candace contra el universo",8,28-08-2020,"Animación, Aventuras, Comedia",Bob Bowen,,"Dan Povenmire, Jeff ""Swampy"" Marsh, Joshua Pruett",Estados Unidos,,,Disney,28 de Agosto de 2020
70,Judy y Punch,5,28-08-2020,"Comedai, Drama",Mirrah Foulkes,Mia Wasikowska,,Australia,106 min.,,Alfa Pictures,28 de Agosto de 2020
71,Orígenes secretos,7,28-08-2020,Thiller,David Galán Galindo,"Javier Rey, Verónica Echegui",,España,92 min. ,,Netflix,28 de Agosto de 2020
72,Tenet,8,26-08-2020,"Acción, Ciencia-ficción, Thriller",Christopher Nolan,"John David Washington, Robert Pattinson",Christopher Nolan,Estados Unidos,150 min.,,Warner Bros.,26 de Agosto de 2020
73,Los nuevos mutantes,5,26-08-2020,"Ciencia-ficción, Terror",Josh Boone,"Anya Taylor-Joy, Charlie Heaton, Maisie Williams, Rosario Dawson",,Estados Unidos,94 min.,,Disney ,26 de Agosto de 2020
74,Abou Leila,8,26-08-2020,"Drama, Intriga",Amin Sidi-Boumédiène,"Azouz Abdelkader, Fouad Megiraga, Lyès Salem, Slimane Benouari",,Argelia,135 min.,,Flamingo Films ,26 de Agosto de 2020
75,Mi gran despedida,7,26-08-2020,"Drama, Romance","Antonio Álamo, Antonio Hens","Carmen Vique, Eloína Marcos, Jesús Castro, Joaquín Perles, Juanma Lara",,España,80 min.,,Syldavia,26 de Agosto de 2020
76,¡Va por nosotras!,7,26-08-2020,Comedia,Mohamed Hamidi,"Alban Ivanov, Céline Sallette, Guillaume Gouix, Kad Merad, Sabrina Ouazani","Alain-Michel Blanc, Camille Fontaine, Mohamed Hamidi",Francia,95 min.,,,26 de Agosto de 2020
77,Eternal beauty,7,24-08-2020,,Craig Roberts,"Alice Lowe, Billie Piper, David Thewlis, Penelope Wilton, Sally Hawkins",,Reino Unido,95 min.,,,24 de Agosto de 2020
78,La boda de Rosa,6,21-08-2020,"Comedia, Drama",Iciar Bollain,"Candela Peña, Nathalie Poza, Paula Usero, Ramón Barea, Sergi López",,España,100 min.,,Filmax,21 de Agosto de 2020
79,The father,6,21-08-2020,"Comedia, Drama","Kristina Grozeva, Petar Valchanov","Hristofor Nedkov, Ivan Barnev, Ivan Savov, Margita Gosheva, Tanya Shahova","Decho Taralezhkov, Kristina Grozeva, Petar Valchanov",Bulgaria,87 min.,,A Contracorriente,21 de Agosto de 2020
80,El glorioso caos de la vida (Babyteeth),8,21-08-2020,"Drama, Romance",Shannon Murphy,,Rita Kalnejais,Australia,120 min.,,Avalon,21 de Agosto de 2020
81,Mi hermano persigue dinosaurios,6,21-08-2020,"Comedia, Drama",Stefano Cipani,"Alessandro Gassman, Francesco Gheghi, Isabella Ragonese, Rossy de Palma",Fabio Bonifacci,Italia,101 min.,,Bosco Films,21 de Agosto de 2020
82,Un amigo extraordinario,6,21-08-2020,"Biopic, Drama",Marielle Heller,"Chris Cooper, Matthew Rhys, Susan Kelechi Watson, Tom Hanks","Micah Fitzerman-Blue, Noah Harpster",Estados Unidos,108 min.,,Sony ,21 de Agosto de 2020
83,Chemical Hearts,6,21-08-2020,"Drama, Romance",Richard Tanne,,Krystal Sutherland,Estados Unidos,,,Amazon ,21 de Agosto de 2020
84,Quisiera que alguien me esperara en algún lugar,6,14-08-2020,"Drama, Romance",Arnaud Viard,"Alice Taglioni, Aurore Clément, Benjamin Lavernhe, Jean-Paul Rouve",,Francia,89 min.,,Karma ,14 de Agosto de 2020
85,Zombi Child,8,14-08-2020,"Fantasía, Terror",,": Louise Labeque, Katiana Milfort, Mackenson Bijou, Wislanda Louimat",,Francia ,103 min. ,,Flamingo Films ,14 de Agosto de 2020
86,Nekrotronic,5,14-08-2020,"Ciencia-ficción, Comedia, Terror",Kiah Roache-Turner,"Ben O'Toole, Caroline Ford, David Wenham, Monica Bellucci, Tess Haubrich",,Australia,99 min.,,eOne,14 de Agosto de 2020
87,Little Monsters,8,14-08-2020,"Comedia, Terror",Abe Forsythe,"Alexander England, Josh Gad, Lupita Nyong'o, Nadia Townsend, Stephen Peacocke",,Australia,94 min.,,A contracorriente,14 de Agosto de 2020
88,El jardín secreto,8,14-08-2020,"Aventuras, Drama, Fantasía",Marc Munden,"Colin Firth, Dixie Egerickx, Julie Walters, Maeve Dermody, Sonia Goswami",Jack Thorne,Reino Unido,99 min.,,DeAPlaneta,14 de Agosto de 2020
89,Proyecto Power,7,14-08-2020,"Acción, Ciencia-ficción, Crimen","Ariel Schulman, Henry Joost","Dominique Fishback, Jamie Foxx, Joseph Gordon-Levitt, Machine Gun Kelly, Rodrigo Santoro",Mattson Tomlin,Estados Unidos,111,,Netflix,14 de Agosto de 2020
90,Color Out of Space,8,07-08-2020,"Ciencia-ficción, Terror",,"Joely Richardson, Nicolas Cage, Q'orianka Kilcher, Tommy Chong",Scarlett Amaris,Estados Unidos,111 min.,, A contracorriente ,07 de Agosto de 2020
91,"Papicha, sueños de libertad",8,07-08-2020,Drama,Mounia Meddour,"Amira Hilda Douaouda, Lyna Khoudri, Marwan Zeghbib, Shirine Boutella",Fadette Drouard,Argelia,106 min.,,,07 de Agosto de 2020
92,La caza,3,07-08-2020,,Craig Zobel,"Betty Gilpin, Emma Roberts, Hilary Swank, Ike Barinholtz, Wayne Duvall",,,,,,07 de Agosto de 2020
93,¡Que suene la música!,7,03-08-2020,Drama,Peter Cattaneo,"Amy James-Kelly, Kristin Scott Thomas, Robert Whitelock, Sharon Horgan","Rachel Tunnard, Rosanne Flynn",Reino Unido,110 min.,,A Contracorriente Films,03 de Agosto de 2020
94,Blanco en blanco,8,03-08-2020,Drama,Theo Court,"Alfredo Castro, David Pantaleón, Lars Rudolph, Lola Rubio",,Chile,100 min. ,,Elamedia,03 de Agosto de 2020
95,Padre no hay más que uno 2: La llegada de la suegra,6,03-08-2020,Comedia,Santiago Segura,"Calma Segura, Carlos G. Morollón, Leo Harlem, Loles León., Luna Fulgencio, Martina D'Antiochia, Santiago Segura, Sílvia Abril, Sirena Segura, Toni Acosta",,,,,,03 de Agosto de 2020
96,Superagente Makey,7,27-07-2020,"Comedia, Policíaca",,"Leo Harlem, Sílvia Abril","Fernando Pérez, Jorge Lara",España,,,DeAPlaneta,27 de Julio de 2020
97,¡Scooby!,7,27-07-2020,"Animación, Comedia",Tony Cervone,,Kelly Fremon,Estados Unidos,93 min.,,Warner Bros.,27 de Julio de 2020
98,Greyhound,8,27-07-2020,,Aaron Schneider,Tom Hanks,,,91 min.,,,27 de Julio de 2020
99,Gretel y Hansel,6,27-07-2020,,Oz Perkins,,Rob Hayes,Estados Unidos,87 min.,,Amazon Prime Video,27 de Julio de 2020
100,Animal Crackers,7,27-07-2020,Animación,"Jaime Maestro Sellés, Scott Christian Sava, Tony Bancroft",,Dean Lorey,"China, Estados Unidos, España",94 min.,,Netflix ,27 de Julio de 2020
101,La isla de las mentiras,6,27-07-2020,"Drama, Hechos reales",Paula Cons,"Aitor Luna, Ana Oca, Darío Grandinetti, Nerea Barros, Victoria Teijeiro","Luis Marias, Paula Cons",España,,,Filmin,27 de Julio de 2020
102,Ofrenda a la tormenta,7,27-07-2020,"Crimen, Thriller",Fernando González Molina,"Benn Northover, Elvira Mínguez, Leonardo Sbaraglia, Marta Etura, Susi Sánchez",Luiso Berdejo,España,,,Netflix,27 de Julio de 2020
103,The Beast,4,24-07-2020,"Drama, Thriller",Lee Jung-Ho,"Lee Sung-min, Yoo Jae-Myeong",,Corea del Sur ,130 min.,,Alfa Pictures,24 de Julio de 2020
104,Voces,6,24-07-2020,Terror,Ángel Gómez Hernández,,,España,,,eOne Films,24 de Julio de 2020
105,Amor en polvo,6,24-07-2020,Comedia,"Juanjo Moscardó Rius, Suso Imbernón","Enrique Arce, Lorena López, Luis Miguel Seguí, Macarena Gómez","Juanjo Moscardó Rius, María Laura Gargarella, María Mínguez",España,79 min.,,Begin Again,24 de Julio de 2020
106,El pájaro pintado,2,24-07-2020,"Bélica, Drama",Václav Marhoul,"Barry Pepper, Harvey Keitel, Julian Sands, Petr Kotlar, Stellan Skarsgård, Udo Kier",,República Checa,169 min. ,,Cinemaran,24 de Julio de 2020
107,El último arquero,5,24-07-2020,Documental,Dácil Manrique de Lara,,,España,74 min. ,,Super 8,24 de Julio de 2020
108,Nuestras derrotas,9,24-07-2020,Documental,Jean-Gabriel Périot,,,Francia ,100 min. ,,NUMAX Distribución,24 de Julio de 2020
109,Retrato de un amor,6,24-07-2020,"Drama, Romance",Stella Meghie,Keith Stanfield,,Estados Unidos,106 min. ,,,24 de Julio de 2020
110,Madre oscura (The wretched),6,17-07-2020,Terror,"Brett Pierce, Drew T. Pierce","Azie Tesfai, John-Paul Howard, Kevin Bigley, Piper Curda, Zarah Mahler",,Estados Unidos,95 min.,,Selecta Visión,17 de Julio de 2020
111,La familia que tú eliges,6,17-07-2020,Drama,"Mike Schwartz, Tyler Nilson","Dakota Johnson, Shia LaBeouf, Zack Gottsagen",,Estados Unidos,93 min.,,A Contracorriente ,17 de Julio de 2020
112,La profesora de piano,7,17-07-2020,Drama,Jan Ole Gerster,"André Jung, Corinna Harfouch, Gudrun Ritter, Rainer Bock, Tom Schilling, Volkmar Kleinert",Blaz Kutin,Alemania,98 min.,,Alfa Pictures,17 de Julio de 2020
113,The bra,4,17-07-2020,"Comedia, Drama",Veit Helmer,"Chulpan Khamatova, Denis Lavant, Maia Morgenstern, Miki Manojlovic, Paz Vega",,"Alemania, Azerbaiyán",90 min. ,,Puntal Films ,17 de Julio de 2020
114,La amabilidad de los extraños,5,17-07-2020,Drama,Lone Scherfig,"Andrea Riseborough, Caleb Landry Jones, Jay Baruche, Tahar Rahim, Zoe Kazan",Lone Scherfig,Dinamarca,112 min.,,BTeam,17 de Julio de 2020
115,Las letras de Jordi,6,10-07-2020,Documental,Maider Fernández Iriarte,,,España,70 min.,,Márgenes,10 de Julio de 2020
116,First Love,8,10-07-2020,"Acción, Thriller",,"Jun Murakami, Masataka Kubota, Nao Omori, Shôta Sometani",Masa Nakamura,Japón,108 min. ,,Barton,10 de Julio de 2020
117,"Dónde estás, Bernadette",8,10-07-2020,"Comedia, Drama",Richard Linklater,"Billy Crudup, Cate Blanchett, Judy Greer, Kristen Wiig, laurence fishburne","Holly Gent Palmo, Richard Linklater, Vincent Palmo Jr.",Estados Unidos,109 min.,,eOne,10 de Julio de 2020
118,Under the skin,10,10-07-2020,"Ciencia-ficción, Drama",,"Krystof Hádek, Paul Brannigan, Robert J. Goodwin, Scarlett Johansson",Walter Campbell,"Reino Unido, Suiza",108 min.,,Avalon ,10 de Julio de 2020
119,La vieja guardia,7,10-07-2020,"Acción, Fantástico",,"Charlize Theron, Chico Kenzari, Chiwetel Ejiofor, KiKi Layne, Matthias Schoenaerts",Greg Rucka,Estados Unidos,118 min.,,Netflix,10 de Julio de 2020
120,La maldición del guapo,6,10-07-2020,Comedia,Beda Docampo Feijóo,"Gonzalo de Castro, Juan Grandinetti, Malena Alterio",,España,90 min.,,Filmax,10 de Julio de 2020
121,Ayka,6,10-07-2020,Drama,Sergei Dvortsevoy,Samal Yeslyamova,,Kazajstán,100 min.,,Filmin,10 de Julio de 2020
122,"Marcelino, el mejor payaso del mundo",6,10-07-2020,"Biopic, Documental, Drama",Germán Roda,"Alberto Castrillo Ferrer, Laura Gómez-Lacueva, Nacho Rubio, Pepe Viyuela, Salomé Jiménez","Germán Roda, Miguel Ángel Lamata",España,83 min.,,Súper 8,10 de Julio de 2020
123,Supa Modo,5,10-07-2020,Drama,Likarion Wainaina,"Johnson Gitau Chege, Marrianne Nungo, Nyawara Ndambia, Stycie Waweru","Gathoni Kamau, Ian Masters, Kamau Wa Ndung'u, Mugambi Nthiga, Wanjeri Gakuru",Kenia,74 min.,,El Sur,10 de Julio de 2020
124,Todo pasa en Tel Aviv,7,03-07-2020,Comedia,Sameh Zoabi,"Kais Nashif, Lubna Azabal, Maisa Abd Elhadi, Nadim Sawalha, Yaniv Biton","Dan Kleinman, Sameh Zoabi",Luxemburgo,100 min. ,,Surtsey Films,03 de Julio de 2020
125,The Kelly Gang: La verdadera historia,7,03-07-2020,"Acción, Western",Justin Kurzel,"Charlie Hunnam, Essie Davis, George MacKay, Nicholas Hoult, Russell Crowe",Shaun Grant,Australia ,124 min.,,ConUnPack,03 de Julio de 2020
126,La lista de los deseos,5,03-07-2020,"Comedia, Drama",Álvaro Díaz Lorenzo,"Boré Buika, María León, Paco Tous, Salva Reina, Silvia Alonso, Victoria Abril",Álvaro Díaz Lorenzo,España,,102 min.,A Contracorriente ,03 de Julio de 2020
127,Anna Karenina. La venganza es el perdón,2,03-07-2020,"Drama, Romance",Karen Shakhnazarov,"Elizaveta Boyarskaya, Kirill Grebenshchikov, Viktoriya Isakova, Vladimir Ilyin",Yuri Poteyenko,Rusia,138 min.,,Premium Cine,03 de Julio de 2020
128,Atrapa ese email,3,03-07-2020,"Comedia, Romance",LP,"Anna Camp, Heather Graham, Lamorne Morris, Nasim Pedrad, Robbie Amell",,Estados Unidos,105 min.,,Netflix ,03 de Julio de 2020
129,Los miembros de la familia,5,03-07-2020,"Comedia, Drama",Mateo Bendesky,"Alejandro Russek, Edgardo Castro, Laila Maltz, Sergio Boris, Tomás Wicz",,Argentina,86 min.,,Barton Films,03 de Julio de 2020
130,"Un blanco, blanco día",8,26-06-2020,"Drama, Thriller",Hlynur Palmason,"Hilmir Snær Guðnason, Ída Mekkín Hlynsdóttir, Ingvar Eggert Sigurdsson",,Islandia,109 min. ,,La Aventura,26 de Junio de 2020
131,Algunas bestias,8,26-06-2020,"Drama, Thriller",Jorge Riquelme Serrano,,,Chile,98 min. ,,,26 de Junio de 2020
132,Plan de salida,6,26-06-2020,"Drama, Intriga",Jonas Alexander Arnby,"Nikolaj Coster-Waldau, Tuva Novotny",Rasmus Birch,Dinamarca,90 min.,,Filmax,26 de Junio de 2020
